scheduleId,line,trainNumber,startStation,startTime,endStation,endTime,status,remarks
HB87-501-3,harbour,TV94,VSH,19:19:00,TNA,19:48:00,active,
HB87-501-4,harbour,TV103,TNA,20:43:00,VSH,21:12:00,active,
HB87-501-5,harbour,TV108,VSH,21:24:00,TNA,21:53:00,active,
HB87-501-6,harbour,TPL67,TNA,22:15:00,PNVL,23:07:00,active,
HB87-502-1,harbour,TPL6,PNVL,5:21:00,TNA,6:13:00,active,
HB87-502-2,harbour,TNU3,TNA,6:27:00,NEU,6:57:00,active,
HB87-502-3,harbour,TNU6,NEU,7:28:00,TNA,8:00:00,cancelled,
HB87-502-4,harbour,P/TPL11,TNA,8:41:00,PNVL,9:33:00,active,
HB87-503-1,harbour,P/TPL10,PNVL,6:13:00,BEPR,6:28:00,active,
HB87-503-2,harbour,BR18,BEPR,7:20:00,CSMT,8:24:00,active,
HB87-503-3,harbour,B25,CSMT,9:42:00,BA,10:11:00,active,
HB87-503-4,harbour,B28,BA,10:20:00,CSMT,10:52:00,active,
HB87-503-5,harbour,PL87,CSMT,11:52:00,PNVL,13:13:00,active,
HB87-504-1,harbour,P/TPL12,PNVL,6:37:00,NEU,7:00:00,active,
HB87-504-2,harbour,UNU3,NEU,7:55:00,URAN,8:38:00,active,
HB87-504-3,harbour,UNU6,URAN,9:00:00,NEU,9:43:00,active,
HB87-504-4,harbour,UNU7,NEU,9:55:00,URAN,10:38:00,active,
HB87-504-5,harbour,UBR10,URAN,13:00:00,BEPR,13:41:00,active,
HB87-504-6,harbour,P/GNPL8,BEPR,13:49:00,PNVL,14:04:00,active,
HB87-505-1,harbour,P/PL104,PNVL,14:45:00,VSH,15:15:00,active,
HB87-505-2,harbour,TV68,VSH,15:38:00,TNA,16:07:00,active,
HB87-505-3,harbour,TPL39,TNA,16:24:00,PNVL,17:16:00,active,
HB87-505-4,harbour,TPL62,PNVL,19:13:00,TNA,20:05:00,active,
HB87-505-5,harbour,TNU63,TNA,20:20:00,NEU,20:50:00,active,
HB87-505-6,harbour,P/PL177,NEU,21:15:00,PNVL,21:37:00,active,
HB87-506-1,harbour,P/PL132,PNVL,17:07:00,NEU,17:29:00,active,
HB87-506-2,harbour,TNU50,NEU,17:54:00,TNA,18:25:00,cancelled,
HB87-506-3,harbour,TNU59,TNA,19:24:00,NEU,19:54:00,active,
HB87-506-4,harbour,TNU62,NEU,20:20:00,TNA,20:50:00,active,
HB87-506-5,harbour,TV105,TNA,21:00:00,VSH,21:29:00,active,
HB87-506-6,harbour,TV114,VSH,22:23:00,TNA,22:52:00,active,
HB87-506-7,harbour,TV117,TNA,23:09:00,VSH,23:38:00,active,
HB87-507-1,harbour,TV8,VSH,6:30:00,TNA,6:59:00,active,
HB87-507-2,harbour,TV11,TNA,7:17:00,VSH,7:46:00,active,
HB87-507-3,harbour,TV20,VSH,8:32:00,TNA,9:01:00,active,
HB87-507-4,harbour,TNU19,TNA,9:19:00,NEU,9:51:00,cancelled,
HB87-507-5,harbour,P/PL61,NEU,10:27:00,PNVL,10:50:00,active,
HB87-508-1,harbour,TPL16,PNVL,7:18:00,TNA,8:12:00,active,
HB87-508-2,harbour,TNU13,TNA,8:31:00,NEU,9:01:00,active,
HB87-508-3,harbour,TNU26,NEU,11:36:00,TNA,12:06:00,active,
HB87-508-4,harbour,TNU33,TNA,12:35:00,NEU,13:05:00,active,
HB87-508-5,harbour,P/PL95,NEU,13:28:00,PNVL,13:50:00,active,
HB87-509-1,harbour,P/PL58,PNVL,10:17:00,VSH,10:47:00,active,
HB87-509-2,harbour,TV40,VSH,11:13:00,TNA,11:42:00,active,
HB87-509-3,harbour,TPL23,TNA,12:00:00,PNVL,12:52:00,active,
HB87-509-4,harbour,TPL40,PNVL,14:24:00,TNA,15:16:00,active,
HB87-509-5,harbour,TNU43,TNA,15:30:00,NEU,16:00:00,active,
HB87-509-6,harbour,P/PL129,NEU,16:26:00,PNVL,16:48:00,active,
HB87-510-1,harbour,P/TPL36,PNVL,13:04:00,TNA,13:56:00,active,
HB87-510-2,harbour,TNU41,TNA,15:05:00,NEU,15:35:00,active,
HB87-510-3,harbour,TNU42,NEU,15:45:00,TNA,16:15:00,active,
HB87-510-4,harbour,TNU45,TNA,16:33:00,NEU,17:03:00,active,
HB87-510-5,harbour,TNU48,NEU,17:41:00,TNA,18:11:00,active,
HB87-510-6,harbour,TNU55,TNA,18:29:00,NEU,18:59:00,cancelled,
HB87-510-7,harbour,P/PL161,CSMT,18:33:00,PNVL,19:54:00,active,
HB87-511-1,harbour,PL130,PNVL,16:53:00,CSMT,18:12:00,active,
HB87-511-2,harbour,PL175,CSMT,20:00:00,PNVL,21:21:00,active,
HB87-511-3,harbour,ER SCS,PNVL,21:35:00,JNJ,21:59:00,active,
HB87-512-1,harbour,VVD4,VSH,5:04:00,VDLR,5:35:00,cancelled,
HB87-512-2,harbour,PLVD3,VDLR,5:52:00,PNVL,6:54:00,cancelled,
HB87-513-1,harbour,PNVL SHUNTING,PNVL,,PNVL,,active,
HB87-514-1,harbour,P/PL90,PNVL,13:37:00,VSH,14:07:00,active,
HB87-514-2,harbour,TV60,VSH,14:35:00,TNA,15:04:00,active,
HB87-514-3,harbour,TV65,TNA,15:25:00,VSH,15:54:00,active,
HB87-514-4,harbour,TV76,VSH,16:44:00,TNA,17:14:00,active,
HB87-514-5,harbour,TNU51,TNA,17:34:00,NEU,18:04:00,active,
HB87-514-6,harbour,TNU56,NEU,19:08:00,TNA,19:40:00,cancelled,
HB87-514-7,harbour,P/TPL55,TNA,19:59:00,PNVL,20:52:00,active,
HB87-515-1,harbour,P/PL114,PNVL,15:28:00,NEU,15:50:00,active,
HB87-515-2,harbour,TNU44,NEU,16:09:00,TNA,16:39:00,active,
HB87-515-3,harbour,TV77,TNA,16:55:00,VSH,17:24:00,active,
HB87-515-4,harbour,TV84,VSH,17:48:00,TNA,18:17:00,cancelled,
HB87-515-5,harbour,TPL49,TNA,18:34:00,PNVL,19:26:00,active,
HB87-515-6,harbour,ERTPL59,PNVL,21:56:00,JNJ,22:20:00,active,
