signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
L-052,,,CSMT-KYN,UP LOC,UP,,16/239,,,,Automatic,,Extreme Right,,,0,1,0,0,1,0,0,0,0,,,,,,1
CLA S-26,CLA,Kurla,CSMT-KYN,UP LOC,UP,,16/223,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
CLA S-27,CLA,Kurla,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,NCS EXIT,,,,,1
CLA S-34,CLA,Kurla,CSMT-KYN,UP LOC,UP,,15/245,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,PF-3,Book shows flag marker PF-3,,,,1
CLA S-42,CLA,Kurla,CSMT-KYN,UP LOC,UP,PF-4 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
CLA S-41,CLA,Kurla,CSMT-KYN,UP LOC,UP,PF-3 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-050,,,CSMT-KYN,UP LOC,UP,,14/235,,,,Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,,,,,,1
L-048,,,CSMT-KYN,UP LOC,UP,,14/221,,,,Automatic,,Gantry,,,0,0,0,0,0,0,0,0,0,ON GANTRY,,,,,1
L-046,,,CSMT-KYN,UP LOC,UP,,13/227,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-044,,,CSMT-KYN,UP LOC,UP,,13/205,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
