train_no,train_name,direction,from_station,to_station,run_days,,,,
16346,LTT-TVC NETRAVATI EXP,UP,ROHA,LTT,DAILY,,,,
16351,LTT-NCJ EXP,DN,LTT,PUNE,1,5,,,
16352,LTT-NCJ EXP,UP,PUNE,LTT,1,5,,,
16531,All-SBC-All GARIB NAWAJ EXP,UP,,,1,,,,
16532,All-SBC-All GARIB NAWAJ EXP,UP,PUNE,BSR,6,,,,
16533,BGKT-SBC-BGKT EXP,UP,,,3,,,,
16534,BGKT-SBC-BGKT EXP,UP,PUNE,BSR,1,,,,
16553,Bengaluru-LTT express,UP,PUNE,LTT,WED,SUN,,,
16554,Bengaluru-LTT express,DN,LTT,PUNE,WED,SUN,,,
16587,BKN-YPR-BKN EXP,UP,PUNE,BSR,1,6,,,
16588,BKN-YPR-BKN EXP,DN,,,1,3,,,
16613,RJT-CBE-RJT EXP,UP,,,7,,,,
16614,RJT-CBE-RJT EXP,DN,,,6,,,,
17057,CSMT-LPI DEVAGIRI EXP,DN,CSMT,MMR,DAILY,,,,
17058,CSMT-LPI DEVAGIRI EXP,UP,MMR,CSMT,DAILY,,,,
17221,LTT-COA EXP,UP,PUNE,LTT,4,7,,,
17222,LTT-COA EXP,DN,LTT,PUNE,4,7,,,
17317,DR-UBL-DR EXP,UP,PUNE,DR,DAILY,,,,
17318,DR-UBL-DR EXP,DN,DR,PUNE,DAILY,,,,
17411,CSMT-KOP MAHALAXMI EXP,DN,CSMT,PUNE,DAILY,,,,
17412,CSMT-KOP MAHALAXMI EXP,UP,PUNE,CSMT,DAILY,,,,
17611,Nanded Rajya rani express,UP,MMR,CSMT,DAILY,,,,
17612,Nanded Rajya rani express,DN,CSMT,MMR,DAILY,,,,
17613,PNVL-NED-PNVL EXP,UP,PNVL,PUNE,DAILY,,,,
17614,PNVL-NED-PNVL EXP,UP,PUNE,PNVL,DAILY,,,,
17617,CSMT-NED TAPOVAN EXP,DN,CSMT,MMR,DAILY,,,,
17618,CSMT-NED TAPOVAN EXP,UP,MMR,CSMT,DAILY,,,,
17665,Nanded LTT express,UP,IGP,LTT,TUE,,,,
17666,Nanded LTT express,DN,LTT,IGP,TUE,,,,
17667,Nanded LTT express,UP,IGP,LTT,THU,,,,
17668,Nanded LTT express,DN,LTT,IGP,THU,,,,
18029,LTT-SHM EXP,DN,LTT,IGP,DAILY,,,,
18030,LTT-SHM EXP,UP,IGP,LTT,DAILY,,,,
18519,LTT-VSKP EXP,UP,PUNE,LTT,DAILY,,,,
18520,LTT-VSKP EXP,DN,LTT,PUNE,DAILY,,,,
18609,LTT-RNC EXP,UP,IGP,LTT,5,,,,
18610,LTT-RNC EXP,DN,LTT,IGP,5,,,,
19259,BVC-TVCN-BVC EXP,UP,RN,BSR,5,,,,
19260,BVC-TVCN-BVC EXP,DN,BSR,RN,2,,,,
19567,OKHA-TN-OKHA VIVEK EXPRESS,UP,PUNE,BSR,2,,,,
19568,OKHA-TN-OKHA VIVEK EXPRESS,DN,,,5,,,,
19577,JAM-TEN-JAM EXP,UP,RN,BSR,2,3,,,
19578,JAM-TEN-JAM EXP,DN,,,6,7,,,
19667,UDZ-MYS-UDZ HUMSAFAR EXP,UP,,,2,,,,
19668,UDZ-MYS-UDZ HUMSAFAR EXP,UP,PUNE,BSR,5,,,,
20103,LTT-GKP EXP,DN,LTT,IGP,DAILY,,,,
20104,LTT-GKP EXP,UP,IGP,LTT,DAILY,,,,
20111,CSMT-MAO KONKAN KANYA EXP,DN,CSMT,RN,DAILY,,,,
20112,CSMT-MAO KONKAN KANYA EXP,UP,RN,CSMT,DAILY,,,,
20475,BKN-MRJ-BKN SF EXP,UP,,,2,,,,
20476,BKN-MRJ-BKN SF EXP,UP,PUNE,BSR,2,,,,
20495,BKN-MRJ-BKN SF EXP,UP,,,DAILY,,,,
20496,BKN-MRJ-BKN SF EXP,UP,PUNE,BSR,DAILY,,,,
20667,Yashvantpur-Jaipur express,UP,PUNE,BSR,5,,,,
20668,Yashvantpur-Jaipur express,DN,,,7,,,,
20685,Gandhidham-Bengaluru SF express,UP,BSR,PUNE,2,,,,
20686,Gandhidham-Bengaluru SF express,UP,PUNE,BSR,7,,,,
20693,Jodhpur-Bengaluru SF express,UP,BSR,PUNE,4,6,,,
20694,Jodhpur-Bengaluru SF express,UP,PUNE,BSR,2,4,,,
20705,CSMT-J VANDE BHARAT,UP,MMR,CSMT,XWED,,,,
20706,CSMT-J VANDE BHARAT,DN,CSMT,MMR,XTHU,,,,
20821,SRC-PUNE-SRC HUMSAFAR EXP,UP,,,1,,,,
20822,SRC-PUNE-SRC HUMSAFAR EXP,DN,BSR,KYN,7,,,,
20909,TVCN-Porbundar SF express,UP,RN,BSR,1,,,,
20910,TVCN-Porbundar SF express,DN,BSR,RN,5,,,,
20915,Charlapalli-Indore Humsafar Express,UP,PUNE,BSR,1,,,,
20916,Charlapalli-Indore Humsafar Express,DN,BSR,PUNE,7,,,,
20919,Chennai-ekta nagar SF express,UP,PUNE,BSR,6,,,,
20920,Chennai-ekta nagar SF express,DN,,,3,,,,
20923,Thirunelveli-Gandhidham Humsafar express,UP,RN,BSR,5,,,,
20924,Thirunelveli-Gandhidham Humsafar express,DN,BSR,RN,1,,,,
20931,TVCN-Indore SF express,UP,RN,BSR,6,,,,
20932,TVCN-Indore SF express,DN,BSR,RN,3,,,,
20953,MAS ADI EXPRESS,UP,PUNE,BSR,1,,,,
20954,Chennai-ADI SF express,DN,,,6,,,,
20967,Porbundar-secundarabad SF express,UP,,,4,,,,
20968,Porbundar-secundarabad SF express,DN,,,2,,,,
22101,LTT-MDU EXP,DN,LTT,PUNE,3,,,,
22102,LTT-MDU EXP,UP,PUNE,LTT,6,,,,
22103,LTT-AYC EXP,DN,LTT,IGP,1,,,,
22104,LTT-AYC EXP,UP,IGP,LTT,4,,,,
22105,CSMT-PUNE INDRAYANI EXP,DN,CSMT,PUNE,DAILY,,,,
22106,CSMT-PUNE INDRAYANI EXP,UP,PUNE,CSMT,DAILY,,,,
22107,CSMT-LUR-CSMT EXP,DN,CSMT,PUNE,1,2,4,7,
22108,CSMT-LUR-CSMT EXP,UP,PUNE,CSMT,2,3,4,6,
22109,LTT-BPQ EXP,DN,LTT,IGP,2,,,,
22110,LTT-BPQ EXP,UP,IGP,LTT,4,,,,
22113,LTT-TVCN SF EXP,DN,LTT,RN,2,6,,,
22114,LTT-TVCN SF EXP,UP,RN,LTT,2,5,,,
22115,LTT-KRMI EXP,DN,LTT,RN,4,,,,
22116,LTT-KRMI EXP,UP,RN,LTT,4,,,,
22119,LTT-MAO-LTT AC EXP,DN,LTT,RN,2,3,5,6,7
22120,LTT-MAO-LTT AC EXP,UP,RN,LTT,2,3,5,6,7
22121,LTT LKO AC EXP,DN,LTT,IGP,6,,,,
22122,LTT LKO AC EXP,UP,IGP,LTT,1,,,,
22129,LTT-Ayodhya cantt SF express,DN,LTT,IGP,2,7,,,
22130,LTT-Ayodhya cantt SF express,UP,IGP,LTT,2,4,,,
22143,CSMT-BIDAR EXP,DN,CSMT,PUNE,3,5,6,,
22144,CSMT-BIDAR EXP,UP,PUNE,CSMT,1,5,7,,
22147,DR-SNSI-DR SF EXP,DN,DR,IGP,5,,,,
22148,DR-SNSI-DR SF EXP,UP,IGP,DR,6,,,,
22149,PUNE-ERS-PUNE EXP,UP,RN,PUNE,3,6,,,
22150,PUNE-ERS-PUNE EXP,DN,PUNE,RN,3,7,,,
22157,CSMT-MAS-CSMT EXP,DN,CSMT,PUNE,DAILY,,,,
22158,CSMT-MAS-CSMT EXP,UP,PUNE,CSMT,DAILY,,,,
22159,CSMT-MAS-CSMT EXP,DN,CSMT,PUNE,DAILY,,,,
22160,CSMT-MAS-CSMT EXP,UP,PUNE,CSMT,DAILY,,,,
22177,CSMT-BNRS MAHANAGARI EXP,DN,CSMT,IGP,DAILY,,,,
22178,CSMT-BNRS MAHANAGARI EXP,UP,IGP,CSMT,DAILY,,,,
22179,LTT-MAS SF EXPRESS,DN,LTT,PUNE,1,,,,
22180,LTT-BSB CSMT MAHANAGARI EXP,UP,PUNE,LTT,3,,,,
22183,LTT-AYC-LTT SAKET EXPRESS,DN,LTT,IGP,3,6,,,
22184,LTT-AYC-LTT SAKET EXPRESS,UP,IGP,LTT,1,5,,,
22185,ADI-PUNE-ADI AHIMSA EXP,DN,BSR,PUNE,5,,,,
22186,ADI-PUNE-ADI AHIMSA EXP,UP,PUNE,BSR,3,,,,
22193,GWL-DD-GWL SF EXP,UP,BSR,PUNE,1,,,,
22194,GWL-DD-GWL SF EXP,DN,BSR,PUNE,7,,,,
22221,CSMT-NZM RAJDHANI EXP,DN,CSMT,JL,DAILY,,,,
22222,CSMT-NZM RAJDHANI EXP,UP,JL,CSMT,DAILY,,,,
22223,CSMT-SNSI-CSMT VANDE BHARAT,DN,CSMT,MMR,XTUE,,,,
22224,CSMT-SNSI-CSMT VANDE BHARAT,UP,MMR,CSMT,XTUE,,,,
22225,CSMT-SUR-CSMT VANDE BHARAT,DN,CSMT,PUNE,XWED,,,,
22226,CSMT-SUR-CSMT VANDE BHARAT,UP,PUNE,CSMT,XTHU,,,,
22229,CSMT-MAO-CSMT VANDE BHARAT,DN,CSMT,RN,XFRI,,,,
22230,CSMT-MAO-CSMT VANDE BHARAT,UP,RN,CSMT,XFRI,,,,
22311,Godda-LTT SF express,UP,IGP,LTT,1,,,,
22312,Godda-LTT SF express,DN,LTT,IGP,4,,,,
22357,LTT-Gaya SF express,DN,LTT,IGP,5,,,,
22358,LTT-Gaya SF express,UP,IGP,LTT,5,,,,
22359,CSMT-PNBE SF EXP,UP,IGP,CSMT,1,4,,,
22360,CSMT-PNBE SF EXP,DN,CSMT,IGP,2,5,,,
22413,NZM-MAO-NZM RAJDHANI EXP,UP,RN,BSR,1,7,,,
22414,NZM-MAO-NZM RAJDHANI EXP,DN,BSR,RN,5,6,,,
