signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
TNA S-19,TNA,Thane,CSMT-KYN,DN LOC,DN,,32/128,,,,Semi-Automatic,,Right,Right,,1,0,0,0,0,0,0,1,1,RI: PF-1 ; PF-3,Book shows route indicator with PF-1 and PF-3 (RHS); curve arrow shown before km in book,,,,1
TNA S-56,TNA,Thane,CSMT-KYN,DN LOC,DN,,32/162,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
TNA S-69,TNA,Thane,CSMT-KYN,DN LOC,DN,PF-2 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,1,0,0,0,0,,,,,,1
TNA S-68,TNA,Thane,CSMT-KYN,DN LOC,DN,PF-3 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
TNA S-77,TNA,Thane,CSMT-KYN,DN LOC,DN,,33/138,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3403,,,CSMT-KYN,DN LOC,DN,,34/106,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KLV S-2,KLVA,Kalva,CSMT-KYN,DN LOC,DN,SH FOR KCS,,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3413,,,CSMT-KYN,DN LOC,DN,,34/144,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3505,,,CSMT-KYN,DN LOC,DN,,35/112A,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3511,,,CSMT-KYN,DN LOC,DN,KLVA PF STR,35/128,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KLV S-8,KLVA,Kalva,CSMT-KYN,DN LOC,DN,,36/104,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KLV S-10,KLVA,Kalva,CSMT-KYN,DN LOC,DN,,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,KCS EXT SDG,,,,,1
KLV S-12,KLVA,Kalva,CSMT-KYN,DN LOC,DN,,36/136,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3705,,,CSMT-KYN,DN LOC,DN,,37/114,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3717,,,CSMT-KYN,DN LOC,DN,,37/134,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3805,,,CSMT-KYN,DN LOC,DN,,38/102,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3809,,,CSMT-KYN,DN LOC,DN,,38/118B,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3905,,,CSMT-KYN,DN LOC,DN,,38/130B,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-3911,,,CSMT-KYN,DN LOC,DN,,39/122A,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4001 REP,,,CSMT-KYN,DN LOC,DN,ON PF,,,,,Repeater,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4001,,,CSMT-KYN,DN LOC,DN,,40/106,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4011,,,CSMT-KYN,DN LOC,DN,,40/118,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4017,,,CSMT-KYN,DN LOC,DN,,40/132A,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
DW S-2,DW,Diva,CSMT-KYN,DN LOC,DN,,41/106A,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,DN TH S-7,Book shows flag marker referencing DN TH S-7,,,,1
DW S-5,DW,Diva,CSMT-KYN,DN LOC,DN,,41/120,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DW S-6,DW,Diva,CSMT-KYN,DN LOC,DN,,42/102,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4211,,,CSMT-KYN,DN LOC,DN,PF-1 STR,,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DW S-17,DW,Diva,CSMT-KYN,DN LOC,DN,,42/140,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4307,,,CSMT-KYN,DN LOC,DN,,43/120,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4401,,,CSMT-KYN,DN LOC,DN,,44/102,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4411,,,CSMT-KYN,DN LOC,DN,,44/126,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4507,,,CSMT-KYN,DN LOC,DN,,45/114,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4601,,,CSMT-KYN,DN LOC,DN,,45/134,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4609,,,CSMT-KYN,DN LOC,DN,,46/120,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-19,DI,Dombivali,CSMT-KYN,DN LOC,DN,,46/142,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-27,DI,Dombivali,CSMT-KYN,DN LOC,DN,,47/120,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,1,PF-1,Book shows flag marker PF-1,,,,1
DI S-38,DI,Dombivali,CSMT-KYN,DN LOC,DN,PF-1 DN STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-37,DI,Dombivali,CSMT-KYN,DN LOC,DN,PF-2 DN STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4811,,,CSMT-KYN,DN LOC,DN,,48/140,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-4903,,,CSMT-KYN,DN LOC,DN,,49/116,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
